Molecule_Name,Smiles,human_VDss_L_kg,Source,CAS
Cisatracurium,COc1ccc(C[C@@H]2c3cc(OC)c(OC)cc3CC[N@+]2(C)CCC(=O)OCCCCCOC(=O)CC[N@@+]4(C)CCc5cc(OC)c(OC)cc5[C@H]4Cc6ccc(OC)c(OC)c6)cc1OC,0.14,10.1124/dmd.118.082966,96946-41-7
Citalopram,CN(C)CCCC1(OCc2cc(ccc12)C#N)c3ccc(F)cc3,12,10.1124/dmd.118.082966,59729-33-8
Cladribine,Nc1nc(Cl)nc2c1ncn2[C@H]3C[C@H](O)[C@@H](CO)O3,7.7,10.1124/dmd.118.082966,4291-63-8
Clarithromycin,CC[C@H]1OC(=O)[C@H](C)[C@@H](O[C@H]2C[C@@](C)(OC)[C@@H](O)[C@H](C)O2)[C@H](C)[C@@H](O[C@@H]3O[C@H](C)C[C@@H]([C@H]3O)N(C)C)[C@@](C)(C[C@@H](C)C(=O)[C@H](C)[C@@H](O)[C@]1(C)O)OC,1.5,10.1124/dmd.118.082966,81103-11-9
Clavulanic Acid,OC\C=C\1/O[C@@H]2CC(=O)N2[C@H]1C(=O)O,0.22,10.1124/dmd.118.082966,58001-44-8
Clazosentan,[H]N(c1c(c(nc(c2ccnc(c2)c2nnnn2[H])n1)OCCO[H])Oc1ccccc1OC)S(c1ccc(C)cn1)(=O)=O,0.23,10.1124/dmd.118.082966,180384-56-9
Clentiazem,c1([C@H]2[C@H](C(N(CCN(C)C)c3c(cc(cc3)Cl)S2)=O)OC(C)=O)ccc(OC)cc1,9.7,10.1124/dmd.118.082966,96125-53-0
Clevidipine,CCCC(=O)OCOC(=O)C1=C(C)NC(=C(C1c2cccc(Cl)c2Cl)C(=O)OC)C,0.58,10.1124/dmd.118.082966,167221-71-8
Clinafloxacin,NC1CCN(C1)c2c(F)cc3C(=O)C(=CN(C4CC4)c3c2Cl)C(=O)O,1.9,10.1124/dmd.118.082966,105956-97-6
Clindamycin,CCC[C@@H]1C[C@H](N(C)C1)C(=O)N[C@H]([C@H](C)Cl)[C@H]2O[C@H](SC)[C@H](O)[C@@H](O)[C@H]2O,0.79,10.1124/dmd.118.082966,18323-44-9
Clodronate,C(P(O)(O)=O)(P(O)(O)=O)(Cl)Cl,0.88,10.1124/dmd.118.082966,10596-23-3
Clofarabine,n1c(N)c2c(nc1Cl)n([C@H]1[C@H]([C@@H]([C@H](O1)CO)O)F)cn2,1.75,10.1124/dmd.118.082966,123318-82-1
Clomipramine,CN(C)CCCN1c2ccccc2CCc3ccc(Cl)cc13,13,10.1124/dmd.118.082966,303-49-1
Clonazepam,Clc1ccccc1C2=NCC(=O)Nc3ccc(cc23)N(=O)=O,2.9,10.1124/dmd.118.082966,1622-61-3
Clonidine,Clc1cccc(Cl)c1NC2=NCCN2,3.3,10.1124/dmd.118.082966,4205-90-7
Clopidogrel,COC(=O)[C@H](c1ccccc1Cl)N2CCc3c(ccs3)C2,2.01,10.1124/dmd.118.082966,113665-84-2
Clozapine,CN1CCN(CC1)C2=Nc3cc(Cl)ccc3Nc4ccccc24,1.6,10.1124/dmd.118.082966,5786-21-0
Cobimetinib,c1cc(c(cc1I)F)Nc2c(ccc(c2F)F)C(=O)N3CC(C3)([C@@H]4CCCCN4)O,15.4,10.1124/dmd.118.082966,934660-93-2
Cocaethylene,CCOC(=O)[C@H]1[C@H](C[C@@H]2CC[C@H]1N2C)OC(=O)c3ccccc3,1.6,10.1124/dmd.118.082966,529-38-4
Cocaine,COC(=O)[C@H]1[C@H](C[C@@H]2CC[C@H]1N2C)OC(=O)c3ccccc3,2,10.1124/dmd.118.082966,50-36-2
Codeine,COc1ccc2C[C@@H]3[C@@H]4C=C[C@H](O)[C@@H]5Oc1c2[C@]45CCN3C,3.5,10.1124/dmd.118.082966,76-57-3
Colchicine,COC1=CC=C2C(=CC1=O)[C@H](CCc3cc(OC)c(OC)c(OC)c23)NC(=O)C,6.1,10.1124/dmd.118.082966,64-86-8
Combretastatin A4 Phosphate,c1(cc(c(c(c1)OC)OC)OC)/C=C\c1ccc(c(c1)OP(=O)(O)O)OC,0.11,10.1124/dmd.118.082966,222030-63-9
Conivaptan,Cc1nc2CCN(C(=O)c3ccc(NC(=O)c4ccccc4c5ccccc5)cc3)c6ccccc6c2[nH]1,0.76,10.1124/dmd.118.082966,210101-16-9
Copanlisib,COc1c(ccc2c1N=C(N3C2=NCC3)NC(=O)c4cnc(nc4)N)OCCCN5CCOCC5,10.34,10.1124/dmd.118.082966,1032568-63-0
Cositecan,CC[C@@]1(c2cc-3n(c(=O)c2COC1=O)Cc4c3nc5ccccc5c4CC[Si](C)(C)C)O,3.26,10.1124/dmd.118.082966,203923-89-1
Cotinine,CN1[C@@H](CCC1=O)c2cccnc2,1.1,10.1124/dmd.118.082966,486-56-6
Coumarin,c12c(ccc(o1)=O)cccc2,1.1,10.1124/dmd.118.082966,91-64-5
CP-4055,CCCCCCCC\C=C\CCCCCCCC(=O)OC[C@H]1O[C@H]([C@@H](O)[C@@H]1O)N2C=CC(=NC2=O)N,0.14,10.1124/dmd.118.082966,188181-42-2
CP-65207,C1(N2C(=C(S[C@@H]3C[S@@](CC3)=O)S[C@H]2[C@H]1[C@H](O)C)C([O-])=O)=O,0.21,10.1124/dmd.118.082966,96865-21-3
CPW 86-363,Cn1c(nnn1)SCC2=C(N3[C@@H]([C@@H](C3=O)NC(=O)/C(=N/OCC(=O)O)/c4cc[nH]n4)SC2)C(=O)O,0.22,10.1124/dmd.118.082966,84080-55-7
Crizotinib,C[C@H](c1c(ccc(c1Cl)F)Cl)Oc2cc(cnc2N)c3cnn(c3)C4CCNCC4,22.15,10.1124/dmd.118.082966,877399-52-5
CUDC-101,COc1cc2c(cc1OCCCCCCC(=O)NO)c(ncn2)Nc3cccc(c3)C#C,0.56,10.1124/dmd.118.082966,1012054-59-9
Cyanamide,C(N)#N,0.78,10.1124/dmd.118.082966,420-04-2
Cyclizine,CN1CCN(CC1)C(c2ccccc2)c3ccccc3,16.5,10.1124/dmd.118.082966,82-92-8
Cyclophosphamide,ClCCN(CCCl)P1(=O)NCCCO1,0.73,10.1124/dmd.118.082966,50-18-0
Cyclosporine,CC[C@@H]1NC(=O)[C@H]([C@H](O)[C@H](C)C\C=C\C)N(C)C(=O)[C@H](C(C)C)N(C)C(=O)[C@H](CC(C)C)N(C)C(=O)[C@@H](CC(C)C)N(C)C(=O)[C@@H](C)NC(=O)[C@H](C)NC(=O)[C@H](CC(C)C)N(C)C(=O)[C@@H](NC(=O)[C@H](CC(C)C)N(C)C(=O)CN(C)C1=O)C(C)C,3.3,10.1124/dmd.118.082966,59865-13-3
CYT997,O(C)C(C=C(C1)C(N=C(N[C@@H](CCC)C2C=CC=NC=2)C2C)=NC=2)=C(NC(NCC)=O)C=1,3.41,10.1124/dmd.118.082966,917111-44-5
Cytarabine,[H]N([H])C1C=CN(C(N=1)=O)[C@H]1[C@H]([C@@H]([C@@H](CO[H])O1)O[H])O[H],0.67,10.1124/dmd.118.082966,147-94-4
Dabigatran,[H]N=C(c1ccc(cc1)N([H])Cc1nc2cc(ccc2n1C)C(N(CCC(=O)O[H])c1ccccn1)=O)N([H])[H],0.85,10.1124/dmd.118.082966,211914-51-1
Dabrafenib,CC(C)(C)c1nc(c2cccc(NS(=O)(=O)c3c(F)cccc3F)c2F)c(s1)c4ccnc(N)n4,0.65,10.1124/dmd.118.082966,1195765-45-7
Dacarbazine,CN(C)N=Nc1nc[nH]c1C(=O)N,1.2,10.1124/dmd.118.082966,4342/3/4
Dacinostat,c1ccc2c(c1)c(c[nH]2)CCN(CCO)Cc3ccc(cc3)/C=C/C(=O)NO,2.17,10.1124/dmd.118.082966,404951-53-7
Daclatasvir,COC(=O)N[C@@H](C(C)C)C(=O)N1CCC[C@H]1c2ncc([nH]2)c3ccc(cc3)c4ccc(cc4)c5cnc([nH]5)[C@@H]6CCCN6C(=O)[C@@H](NC(=O)OC)C(C)C,0.67,10.1124/dmd.118.082966,1009119-64-5
Dalbavancin,CN[C@H]1C(=O)N[C@@H]2Cc3ccc(Oc4cc5cc(Oc6ccc(cc6Cl)[C@@H](O)[C@@H]7NC(=O)[C@H](NC(=O)[C@@H]5NC(=O)[C@@H](NC2=O)c8cc(Oc9cc1ccc9O)cc(O)c8Cl)c%10ccc(O)c(c%10)c%11c(O[C@H]%12O[C@H](CO)[C@@H](O)[C@H](O)[C@@H]%12O)cc(O)cc%11[C@H](NC7=O)C(=O)NCCCN(C)C)c4O[C@@H]%13O[C@@H]([C@@H](O)[C@H](O)[C@H]%13NC(=O)CCCCCCCCC(C)C)C(=O)O)cc3,0.14,10.1124/dmd.118.082966,171500-79-1
Dalfampridine,c1(ccncc1)N,2.6,10.1124/dmd.118.082966,504-24-5
Dalfopristin,CCN(CC)CCS(=O)(=O)[C@@H]1CCN2[C@H]1C(=O)O[C@@H](C(C)C)[C@H](C)\C=C\C(=O)NC\C=C/C(=C/[C@@H](O)CC(=O)Cc3occ(n3)C2=O)/C,0.39,10.1124/dmd.118.082966,112362-50-2
Danazol,C[C@]12CC[C@H]3[C@H]([C@@H]1CC[C@]2(C#C)O)CCC4=Cc5c(cno5)C[C@]34C,5.18,10.1124/dmd.118.082966,17230-88-5
Danoprevir,CC(C)(C)OC(=O)N[C@H]1CCCCC\C=C/[C@@H]2C[C@]2(NC(=O)[C@@H]3C[C@H](CN3C1=O)OC(=O)N4Cc5cccc(F)c5C4)C(=O)NS(=O)(=O)C6CC6,0.22,10.1124/dmd.118.082966,850876-88-9
Dantrolene,O=C1CN(\N=C\c2oc(cc2)c3ccc(cc3)N(=O)=O)C(=O)N1,0.37,10.1124/dmd.118.082966,7261-97-4
Danusertib,N(C(=O)C(=CC=C1N(CCN2C)CC2)C=C1)C(C(=C1C2)CN2C([C@H](OC)C(=CC=C2)C=C2)=O)=NN1,2.5,10.1124/dmd.118.082966,827318-97-8
Dapagliflozin,[C@H]1([C@H]([C@@H]([C@H](C(O1)c1ccc(c(c1)Cc1ccc(cc1)OCC)Cl)O)O)O)CO,1.7,10.1124/dmd.118.082966,461432-26-8
Dapsone,Nc1ccc(cc1)S(=O)(=O)c2ccc(N)cc2,0.83,10.1124/dmd.118.082966,80-08-0
Daptomycin,CCCCCCCCCC(=O)N[C@@H](Cc1c[nH]c2ccccc12)C(=O)N[C@H](CC(=O)N)C(=O)N[C@@H](CC(=O)O)C(=O)N[C@H]3[C@@H](C)OC(=O)[C@H](CC(=O)c4ccccc4N)NC(=O)[C@@H](NC(=O)[C@@H](CO)NC(=O)CNC(=O)[C@H](CC(=O)O)NC(=O)[C@@H](C)NC(=O)C(CC(=O)O)NC(=O)[C@H](CCCN)NC(=O)CNC3=O)[C@H](C)CC(=O)O,0.088,10.1124/dmd.118.082966,103060-53-3
Darapladib,c1(ccc(cc1)CSc1nc(=O)c2c(n1CC(=O)N(CCN(CC)CC)Cc1ccc(cc1)c1ccc(cc1)C(F)(F)F)CCC2)F,11.9,10.1124/dmd.118.082966,356057-34-6
Darifenacin,NC(=O)C([C@@H]1CCN(CCc2ccc3OCCc3c2)C1)(c4ccccc4)c5ccccc5,2.6,10.1124/dmd.118.082966,133099-04-4
Dasabuvir,CC(C)(C)c1cc(cc(c1OC)c2ccc3cc(ccc3c2)NS(=O)(=O)C)n4ccc(=O)[nH]c4=O,2.13,10.1124/dmd.118.082966,1132935-63-7
Daunorubicin,C[C@H]1[C@H]([C@H](C[C@@H](O1)O[C@H]2C[C@@](Cc3c2c(c4c(c3O)C(=O)c5cccc(c5C4=O)OC)O)(C(=O)C)O)N)O,32.05,10.1124/dmd.118.082966,20830-81-3
Deacetyl metipranolol,c1(c(c(c(cc1C)OC[C@@H](CNC(C)C)O)C)C)O,3.6,10.1124/dmd.118.082966,57193-14-3
Decitabine,NC1=NC(=O)N(C=N1)[C@H]2C[C@H](O)[C@@H](CO)O2,4.6,10.1124/dmd.118.082966,2353-33-5
Deferasirox,[H]OC(c1ccc(cc1)n1c(c2ccccc2O[H])nc(c2ccccc2O[H])n1)=O,0.2,10.1124/dmd.118.082966,201530-41-8
Deferolimus,C1CCN2[C@@H](C1)C(=O)O[C@@H](CC(=O)[C@@H](C=C([C@H]([C@H](C(=O)[C@@H](C[C@@H](C=CC=CC=C([C@H](C[C@@H]1CC[C@H]([C@](C(=O)C2=O)(O1)O)C)OC)C)C)C)OC)O)C)C)[C@H](C)C[C@@H]1CC[C@H]([C@@H](C1)OC)OP(=O)(C)C,3.2,10.1124/dmd.118.082966,572924-54-0
Degarelix,c1(cc2ccccc2cc1)C[C@H](C(N[C@@H](C(N[C@@H](C(N[C@@H](CO)C(N[C@H](C(N[C@@H](C(N[C@H](C(N[C@H](C(N1[C@@H](C(N[C@@H](C(N)=O)C)=O)CCC1)=O)CCCCNC(C)C)=O)CC(C)C)=O)Cc1ccc(cc1)NC(N)=O)=O)Cc1ccc(cc1)NC([C@H]1CC(NC(N1)=O)=O)=O)=O)=O)Cc1cnccc1)=O)Cc1ccc(cc1)Cl)=O)NC(C)=O,0.74,10.1124/dmd.118.082966,214766-78-6
Dehydroandrographolide succinate,O=C(O)CCC(=O)O[C@@H]3CC[C@@]2(C)[C@H](/C=C/C1=CCOC1=O)C(=C)CC[C@@H]2[C@]3(C)COC(=O)CCC(=O)O,0.13,10.1124/dmd.118.082966,786593-06-4
Delafloxacin,c1c2c(c(c(c1F)N3CC(C3)O)Cl)n(cc(c2=O)C(=O)O)c4c(cc(c(n4)N)F)F,0.35,10.1124/dmd.118.082966,189279-58-1
Delorazepam (Chlordesmethyldiazepam),Clc1ccc2NC(=O)CN=C(c3ccccc3Cl)c2c1,2.2,10.1124/dmd.118.082966,2894-67-9
Demethylchlortetracycline,CN(C)[C@H]1[C@@H]2C[C@@H]3[C@H](O)c4c(Cl)ccc(O)c4C(=O)C3=C(O)[C@]2(O)C(=O)C(=C1O)C(=O)N,1.3,10.1124/dmd.118.082966,127-33-3
Denaverine,CCC(CC)COC(C(=O)OCCN(C)C)(c1ccccc1)c2ccccc2,7.1,10.1124/dmd.118.082966,3579-62-2
Deoxycytidine-5F-2',c1c(c(nc(=O)n1[C@H]2C[C@@H]([C@H](O2)CO)O)N)F,0.91,10.1124/dmd.118.082966,10356-76-0
Deramciclane,C[C@@]12CC[C@@H](C1(C)C)C[C@@]2(c3ccccc3)OCCN(C)C,7.7,10.1124/dmd.118.082966,120444-71-5
"Desacetylpaclitaxel, 4-; 4-methyl carbonate",COC(=O)O[C@@]12CO[C@@H]1C[C@H](O)[C@]3(C)[C@@H]2[C@H](OC(=O)c4ccccc4)[C@]5(O)C[C@H](OC(=O)[C@H](O)[C@@H](NC(=O)c6ccccc6)c7ccccc7)C(=C([C@@H](OC(=O)C)C3=O)C5(C)C)C,6.9,10.1124/dmd.118.082966,172481-83-3
Desferrioxamine,C(CCC(NCCCCCN(C(C)=O)O)=O)(N(CCCCCNC(CCC(N(CCCCCN)O)=O)=O)O)=O,1.35,10.1124/dmd.118.082966,70-51-9
Desipramine,CNCCCN1c2ccccc2CCc3ccccc13,15,10.1124/dmd.118.082966,50-47-5
Desmethyldiazepam,Clc1ccc2NC(=O)CN=C(c3ccccc3)c2c1,0.45,10.1124/dmd.118.082966,1088-11-5
Desmopressin,NC(=O)CC[C@@H]1NC(=O)[C@H](Cc2ccccc2)NC(=O)[C@H](Cc3ccc(O)cc3)NC(=O)CCSSC[C@H](NC(=O)[C@H](CC(=O)N)NC1=O)C(=O)N4CCC[C@H]4C(=O)N[C@H](CCCNC(=N)N)C(=O)NCC(=O)N,0.3,10.1124/dmd.118.082966,16679-58-6
Desvenlafaxine,c1cc(ccc1O)[C@@H](CN(C)C)C1(CCCCC1)O,3.5,10.1124/dmd.118.082966,93413-62-8
Dexamethasone,C[C@@H]1C[C@H]2[C@@H]3CCC4=CC(=O)C=C[C@]4(C)[C@@]3(F)[C@@H](O)C[C@]2(C)[C@@]1(O)C(=O)CO,0.94,10.1124/dmd.118.082966,1950/2/2
Dexanabinol,CCCCCCC(C)(C)c1cc(c2c(c1)OC([C@@H]3[C@@H]2CC(=CC3)CO)(C)C)O,5.06,10.1124/dmd.118.082966,112924-45-5
Dexfenfluramine,CCN[C@@H](C)Cc1cccc(c1)C(F)(F)F,11,10.1124/dmd.118.082966,3239-44-9
Dexloxiglumide,CCCCCN(CCCOC)C(=O)[C@@H](CCC(=O)O)NC(=O)c1ccc(Cl)c(Cl)c1,0.18,10.1124/dmd.118.082966,119817-90-2
Dexmedetomidine,C[C@H](c1c[nH]cn1)c2cccc(C)c2C,1.6,10.1124/dmd.118.082966,145108-58-3
Dexmethylphenidate,c1ccc([C@H]([C@H]2CCCCN2)C(OC)=O)cc1,2.65,10.1124/dmd.118.082966,40431-64-9
Dexniguldipine,COC(=O)C1=C(C)NC(=C([C@@H]1c2cccc(c2)N(=O)=O)C(=O)OCCCN3CCC(CC3)(c4ccccc4)c5ccccc5)C,8.4,10.1124/dmd.118.082966,120054-86-6
Dexrazoxane,C[C@@H](CN1CC(=O)NC(=O)C1)N2CC(=O)NC(=O)C2,0.55,10.1124/dmd.118.082966,24584-09-6
Dextromoramide,C[C@H](CN1CCOCC1)C(C(=O)N2CCCC2)(c3ccccc3)c4ccccc4,0.47,10.1124/dmd.118.082966,357-56-2
Dezocine,c12[C@@]3([C@H]([C@@H](CCCCC3)Cc1ccc(c2)O)N)C,5.6,10.1124/dmd.118.082966,53648-55-8
DHA Paclitaxel,CC\C=C/C\C=C/C\C=C/C\C=C/C\C=C/C\C=C/CCC(=O)O[C@H]([C@@H](NC(=O)c1ccccc1)c2ccccc2)C(=O)O[C@H]3C[C@@]4(O)[C@@H](OC(=O)c5ccccc5)[C@@H]6[C@@]7(CO[C@@H]7C[C@H](O)[C@@]6(C)C(=O)[C@H](OC(=O)C)C(=C3C)C4(C)C)OC(=O)C,0.068,10.1124/dmd.118.082966,199796-52-6
Diatrizoic Acid (Amidotrizoate),CC(=O)Nc1c(I)c(NC(=O)C)c(I)c(C(=O)O)c1I,0.26,10.1124/dmd.118.082966,117-96-4
Diazepam,CN1C(=O)CN=C(c2ccccc2)c3cc(Cl)ccc13,1,10.1124/dmd.118.082966,439-14-5
Diazoxide,CC1=NS(=O)(=O)c2cc(Cl)ccc2N1,0.21,10.1124/dmd.118.082966,364-98-7
Dibekacin,NC[C@@H]1CC[C@@H](N)[C@@H](O[C@@H]2[C@@H](N)C[C@@H](N)[C@H](O[C@H]3O[C@H](CO)[C@@H](O)[C@H](N)[C@H]3O)[C@H]2O)O1,0.13,10.1124/dmd.118.082966,34493-98-6
Dichloroacetic Acid,OC(=O)C(Cl)Cl,0.19,10.1124/dmd.118.082966,79-43-6
Diclofenac,OC(=O)Cc1ccccc1Nc2c(Cl)cccc2Cl,0.22,10.1124/dmd.118.082966,15307-86-5
Dicloxacillin,Cc1onc(c1C(=O)N[C@H]2[C@H]3SC(C)(C)[C@@H](N3C2=O)C(=O)O)c4c(Cl)cccc4Cl,0.11,10.1124/dmd.118.082966,3116-76-5
Didanosine,OC[C@@H]1CC[C@@H](O1)n2cnc3C(=O)NC=Nc23,0.77,10.1124/dmd.118.082966,69655-05-6
Didemnin B,N1(C([C@H]2N(C([C@@H](NC([C@H](C([C@@H](OC(C[C@@H]([C@H](NC([C@H]([C@H](OC([C@@H]1Cc1ccc(cc1)OC)=O)C)NC([C@H](N(C([C@H]1N(C(=O)[C@@H](O)C)CCC1)=O)C)CC(C)C)=O)=O)[C@H](CC)C)O)=O)C(C)C)=O)C)=O)CC(C)C)=O)CCC2)=O)C,1.42,10.1124/dmd.118.082966,77327-05-0
Dienogest,C[C@]12CCC3=C4CCC(=O)C=C4CC[C@H]3[C@@H]1CC[C@@]2(O)CC#N,0.6,10.1124/dmd.118.082966,65928-58-7
Diflomotecan,[H]O[C@]1(CC)CC(=O)OCC2=C1C=C1c3c(CN1C2=O)cc1cc(c(cc1n3)F)F,1.42,10.1124/dmd.118.082966,220997-97-7
Diflunisal,OC(=O)c1cc(ccc1O)c2ccc(F)cc2F,0.097,10.1124/dmd.118.082966,22494-42-4
Digitoxin,C[C@H]1O[C@H](C[C@H](O)[C@@H]1O)O[C@H]2[C@@H](O)C[C@H](O[C@H]3[C@@H](O)C[C@H](O[C@H]4CC[C@@]5(C)[C@H](CC[C@@H]6[C@@H]5CC[C@]7(C)[C@H](CC[C@]67O)C8=CC(=O)OC8)C4)O[C@@H]3C)O[C@@H]2C,0.44,10.1124/dmd.118.082966,71-63-6
Digoxin,C[C@H]1O[C@H](C[C@H](O)[C@@H]1O)O[C@H]2[C@@H](O)C[C@H](O[C@H]3[C@@H](O)C[C@H](O[C@H]4CC[C@@]5(C)[C@H](CC[C@@H]6[C@@H]5C[C@@H](O)[C@]7(C)[C@H](CC[C@]67O)C8=CC(=O)OC8)C4)O[C@@H]3C)O[C@@H]2C,4.1,10.1124/dmd.118.082966,20830-75-5
Dihydrocodeine,CN1CC[C@]23c4c5ccc(c4O[C@H]2[C@H](CC[C@H]3[C@H]1C5)O)OC,1.07,10.1124/dmd.118.082966,125-28-0
Dihydroergosine,CC(C)C[C@H]1C(=O)N2CCC[C@H]2[C@]3(N1C(=O)[C@](O3)(C)NC(=O)[C@@H]4C[C@@H]5c6cccc7c6c(c[nH]7)C[C@H]5N(C4)C)O,4.02,10.1124/dmd.118.082966,7288-61-1
Dihydroergotamine,N12[C@@]([C@H]3N(CCC3)C([C@@H]1Cc1ccccc1)=O)(O[C@](NC([C@@H]1C[C@@H]3c4c5c(c[nH]c5ccc4)C[C@H]3[N@@](C1)C)=O)(C)C2=O)O,0.33,10.1124/dmd.118.082966,511-12-6
Dihydroquinidine,CC[C@H]1CN2CC[C@H]1C[C@@H]2[C@@H](O)c3ccnc4ccc(OC)cc34,2.8,10.1124/dmd.118.082966,1435-55-8
Dilevalol,C[C@H](CCc1ccccc1)NC[C@H](O)c2ccc(O)c(c2)C(=O)N,4.8,10.1124/dmd.118.082966,75659-07-3
Diltiazem,COc1ccc(cc1)[C@@H]2Sc3ccccc3N(CCN(C)C)C(=O)[C@@H]2OC(=O)C,4.1,10.1124/dmd.118.082966,42399-41-7
Dimetindene,C=1(c2c(cccc2)CC1CCN(C)C)[C@@H](c1ccccn1)C,2.16,10.1124/dmd.118.082966,5636-83-9
Dinaciclib,c1(cc(nc2n1ncc2CC)N1[C@@H](CCCC1)CCO)NCc1cn(=O)ccc1,0.32,10.1124/dmd.118.082966,779353-01-4
Diphenhydramine,CN(C)CCOC(c1ccccc1)c2ccccc2,6.5,10.1124/dmd.118.082966,58-73-1
Diprafenone,CCC(C)(C)NCC(O)COc1ccccc1C(=O)CCc2ccccc2,1.2,10.1124/dmd.118.082966,81447-80-5
Diprophylline,CN1C(=O)N(C)c2ncn(CC(O)CO)c2C1=O,0.42,10.1124/dmd.118.082966,479-18-5
Dipyridamole,c12c(c(N3CCCCC3)nc(n2)N(CCO)CCO)nc(N(CCO)CCO)nc1N1CCCCC1,0.82,10.1124/dmd.118.082966,58-32-2
Disopyramide,CC(C)N(CCC(C(=O)N)(c1ccccc1)c2ccccn2)C(C)C,0.52,10.1124/dmd.118.082966,3737/9/5
Distigmine,c1(OC(N(CCCCCCN(C(Oc2c[n+](ccc2)C)=O)C)C)=O)c[n+](ccc1)C,1,10.1124/dmd.118.082966,17299-00-2
Disufenton sodium,[Na+].[Na+].c1(cc(c(cc1)\C=[N+](\C(C)(C)C)[O-])S(=O)(=O)[O-])S(=O)(=O)[O-],0.18,10.1124/dmd.118.082966,168021-79-2
Dixyrazine,CC(CN1CCN(CC1)CCOCCO)CN2c3ccccc3Sc4c2cccc4,4.06,10.1124/dmd.118.082966,2470-73-7
Dobesilic acid,O=S(=O)(O)c1c(O)ccc(O)c1,0.12,10.1124/dmd.118.082966,88-46-0
Docetaxel,CC(=O)O[C@@]12CO[C@@H]1C[C@H](O)[C@]3(C)[C@@H]2[C@H](OC(=O)c4ccccc4)[C@]5(O)C[C@H](OC(=O)[C@H](O)[C@@H](NC(=O)OC(C)(C)C)c6ccccc6)C(=C([C@@H](O)C3=O)C5(C)C)C,2.1,10.1124/dmd.118.082966,114977-28-5
Dofetilide,CN(CCOc1ccc(NS(=O)(=O)C)cc1)CCc2ccc(NS(=O)(=O)C)cc2,3.3,10.1124/dmd.118.082966,115256-11-6
Dolasetron,O=C(O[C@@H]1C[C@@H]2CC3C[C@H](C1)N2CC3=O)c4c[nH]c5ccccc45,2,10.1124/dmd.118.082966,115956-12-2
Domperidone,Clc1ccc2N(C3CCN(CCCN4C(=O)Nc5ccccc45)CC3)C(=O)Nc2c1,3.4,10.1124/dmd.118.082966,57808-66-9
Dopamine,c1(cc(c(O)cc1)O)CCN,0.74,10.1124/dmd.118.082966,51-61-6
Doripenem,[H]N1C[C@@H](C[C@H]1CN([H])S(N([H])[H])(=O)=O)SC1=C(C(=O)O[H])N2C([C@@H]1C)[C@@H](C2=O)[C@H](C)O[H],0.23,10.1124/dmd.118.082966,148016-81-3
Doxacurium,COc1cc(CC2c3c(CC[N+]2(C)CCCOC(=O)CCC(=O)OCCC[N+]4(C)CCc5cc(OC)c(OC)c(OC)c5C4Cc6cc(OC)c(OC)c(OC)c6)cc(OC)c(OC)c3OC)cc(OC)c1OC,0.22,10.1124/dmd.118.082966,133814-18-3
Doxapram,CCN1CC(CCN2CCOCC2)C(C1=O)(c3ccccc3)c4ccccc4,1.2,10.1124/dmd.118.082966,309-29-5
Doxazosin,COc1cc2nc(nc(N)c2cc1OC)N3CCN(CC3)C(=O)C4COc5ccccc5O4,1.3,10.1124/dmd.118.082966,74191-85-8
Doxepin,CN(C)CC\C=C\1/c2ccccc2COc3ccccc13,12,10.1124/dmd.118.082966,1668-19-5
Doxifluridine,C[C@H]1O[C@H]([C@H](O)[C@@H]1O)N2C=C(F)C(=O)NC2=O,0.28,10.1124/dmd.118.082966,3094/9/5
Doxofylline,c12c(n(c(=O)n(c2=O)C)C)ncn1CC1OCCO1,1.03,10.1124/dmd.118.082966,69975-86-6
Doxorubicin,COc1cccc2C(=O)c3c(O)c4C[C@](O)(C[C@H](O[C@H]5C[C@H](N)[C@H](O)[C@H](C)O5)c4c(O)c3C(=O)c12)C(=O)CO,22,10.1124/dmd.118.082966,23214-92-8
Doxycycline,C[C@@H]1[C@H]2[C@H](O)[C@H]3[C@H](N(C)C)C(=C(C(=O)N)C(=O)[C@@]3(O)C(=C2C(=O)c4c(O)cccc14)O)O,0.69,10.1124/dmd.118.082966,564-25-0
DP-b99,CCCCCCCCOCCOC(=O)CN(CC(=O)O)c1ccccc1OCCOc2ccccc2N(CC(=O)O)CC(=O)OCCOCCCCCCCC,1.1,10.1124/dmd.118.082966,222315-88-0
DQ-2556,c1cc(cc[n+]1CC1=C(N2C([C@H]([C@H]2SC1)NC(=O)\C(=N\OC)c1nc(sc1)N)=O)C(=O)[O-])c1cnco1,0.22,10.1124/dmd.118.082966,102253-70-3
Dronedarone,CS(=O)(=O)Nc1cc2c(c(oc2cc1)CCCC)C(=O)c1ccc(cc1)OCCCN(CCCC)CCCC,20,10.1124/dmd.118.082966,141626-36-0
Droperidol,n1(c2c(cccc2)[nH]c1=O)C=1CC[N@@](CCCC(c2ccc(F)cc2)=O)CC1,1.41,10.1124/dmd.118.082966,548-73-2
Drotaverine,CCOc1ccc(\C=C\2/NCCc3cc(OCC)c(OCC)cc23)cc1OCC,1.9,10.1124/dmd.118.082966,14009-24-6
DX-52-1,c12[C@@H]([N@@]3[C@@H]([C@@H]4C[C@@H]([C@@H]([N@@]4C)[C@@H]3Cc1cccc2OC)C(=O)O)C#N)CO,0.23,10.1124/dmd.118.082966,96251-59-1
