Molecule_Name,Smiles,human_mrt,Source
CP-4055,CCCCCCCC\C=C\CCCCCCCC(=O)OC[C@H]1O[C@H]([C@@H](O)[C@@H]1O)N2C=CC(=NC2=O)N,0.51,10.1124/dmd.118.082966
CP-65207,C1(N2C(=C(S[C@@H]3C[S@@](CC3)=O)S[C@H]2[C@H]1[C@H](O)C)C([O-])=O)=O,0.7,10.1124/dmd.118.082966
CPW 86-363,Cn1c(nnn1)SCC2=C(N3[C@@H]([C@@H](C3=O)NC(=O)/C(=N/OCC(=O)O)/c4cc[nH]n4)SC2)C(=O)O,1.8,10.1124/dmd.118.082966
Crizotinib,C[C@H](c1c(ccc(c1Cl)F)Cl)Oc2cc(cnc2N)c3cnn(c3)C4CCNCC4,37.9,10.1124/dmd.118.082966
CUDC-101,COc1cc2c(cc1OCCCCCCC(=O)NO)c(ncn2)Nc3cccc(c3)C#C,0.78,10.1124/dmd.118.082966
Cyanamide,C(N)#N,0.8,10.1124/dmd.118.082966
Cyclizine,CN1CCN(CC1)C(c2ccccc2)c3ccccc3,15.46,10.1124/dmd.118.082966
Cyclophosphamide,ClCCN(CCCl)P1(=O)NCCCO1,11,10.1124/dmd.118.082966
Cyclosporine,CC[C@@H]1NC(=O)[C@H]([C@H](O)[C@H](C)C\C=C\C)N(C)C(=O)[C@H](C(C)C)N(C)C(=O)[C@H](CC(C)C)N(C)C(=O)[C@@H](CC(C)C)N(C)C(=O)[C@@H](C)NC(=O)[C@H](C)NC(=O)[C@H](CC(C)C)N(C)C(=O)[C@@H](NC(=O)[C@H](CC(C)C)N(C)C(=O)CN(C)C1=O)C(C)C,7.3,10.1124/dmd.118.082966
CYT997,O(C)C(C=C(C1)C(N=C(N[C@@H](CCC)C2C=CC=NC=2)C2C)=NC=2)=C(NC(NCC)=O)C=1,2.5,10.1124/dmd.118.082966
Cytarabine,[H]N([H])C1C=CN(C(N=1)=O)[C@H]1[C@H]([C@@H]([C@@H](CO[H])O1)O[H])O[H],0.28,10.1124/dmd.118.082966
Dabigatran,[H]N=C(c1ccc(cc1)N([H])Cc1nc2cc(ccc2n1C)C(N(CCC(=O)O[H])c1ccccn1)=O)N([H])[H],7.4,10.1124/dmd.118.082966
Dabrafenib,CC(C)(C)c1nc(c2cccc(NS(=O)(=O)c3c(F)cccc3F)c2F)c(s1)c4ccnc(N)n4,3.8,10.1124/dmd.118.082966
Dacarbazine,CN(C)N=Nc1nc[nH]c1C(=O)N,7.8,10.1124/dmd.118.082966
Dacinostat,c1ccc2c(c1)c(c[nH]2)CCN(CCO)Cc3ccc(cc3)/C=C/C(=O)NO,4.78,10.1124/dmd.118.082966
Daclatasvir,COC(=O)N[C@@H](C(C)C)C(=O)N1CCC[C@H]1c2ncc([nH]2)c3ccc(cc3)c4ccc(cc4)c5cnc([nH]5)[C@@H]6CCCN6C(=O)[C@@H](NC(=O)OC)C(C)C,11.19,10.1124/dmd.118.082966
Dalbavancin,CN[C@H]1C(=O)N[C@@H]2Cc3ccc(Oc4cc5cc(Oc6ccc(cc6Cl)[C@@H](O)[C@@H]7NC(=O)[C@H](NC(=O)[C@@H]5NC(=O)[C@@H](NC2=O)c8cc(Oc9cc1ccc9O)cc(O)c8Cl)c%10ccc(O)c(c%10)c%11c(O[C@H]%12O[C@H](CO)[C@@H](O)[C@H](O)[C@@H]%12O)cc(O)cc%11[C@H](NC7=O)C(=O)NCCCN(C)C)c4O[C@@H]%13O[C@@H]([C@@H](O)[C@H](O)[C@H]%13NC(=O)CCCCCCCCC(C)C)C(=O)O)cc3,230,10.1124/dmd.118.082966
Dalfampridine,c1(ccncc1)N,4.7,10.1124/dmd.118.082966
Dalfopristin,CCN(CC)CCS(=O)(=O)[C@@H]1CCN2[C@H]1C(=O)O[C@@H](C(C)C)[C@H](C)\C=C\C(=O)NC\C=C/C(=C/[C@@H](O)CC(=O)Cc3occ(n3)C2=O)/C,0.41,10.1124/dmd.118.082966
Danazol,C[C@]12CC[C@H]3[C@H]([C@@H]1CC[C@]2(C#C)O)CCC4=Cc5c(cno5)C[C@]34C,5.49,10.1124/dmd.118.082966
Danoprevir,CC(C)(C)OC(=O)N[C@H]1CCCCC\C=C/[C@@H]2C[C@]2(NC(=O)[C@@H]3C[C@H](CN3C1=O)OC(=O)N4Cc5cccc(F)c5C4)C(=O)NS(=O)(=O)C6CC6,0.32,10.1124/dmd.118.082966
Dantrolene,O=C1CN(\N=C\c2oc(cc2)c3ccc(cc3)N(=O)=O)C(=O)N1,14,10.1124/dmd.118.082966
Danusertib,N(C(=O)C(=CC=C1N(CCN2C)CC2)C=C1)C(C(=C1C2)CN2C([C@H](OC)C(=CC=C2)C=C2)=O)=NN1,6.8,10.1124/dmd.118.082966
Dapagliflozin,[C@H]1([C@H]([C@@H]([C@H](C(O1)c1ccc(c(c1)Cc1ccc(cc1)OCC)Cl)O)O)O)CO,9.5,10.1124/dmd.118.082966
Dapsone,Nc1ccc(cc1)S(=O)(=O)c2ccc(N)cc2,29,10.1124/dmd.118.082966
Daptomycin,CCCCCCCCCC(=O)N[C@@H](Cc1c[nH]c2ccccc12)C(=O)N[C@H](CC(=O)N)C(=O)N[C@@H](CC(=O)O)C(=O)N[C@H]3[C@@H](C)OC(=O)[C@H](CC(=O)c4ccccc4N)NC(=O)[C@@H](NC(=O)[C@@H](CO)NC(=O)CNC(=O)[C@H](CC(=O)O)NC(=O)[C@@H](C)NC(=O)C(CC(=O)O)NC(=O)[C@H](CCCN)NC(=O)CNC3=O)[C@H](C)CC(=O)O,9.2,10.1124/dmd.118.082966
Darapladib,c1(ccc(cc1)CSc1nc(=O)c2c(n1CC(=O)N(CCN(CC)CC)Cc1ccc(cc1)c1ccc(cc1)C(F)(F)F)CCC2)F,48.1,10.1124/dmd.118.082966
Darifenacin,NC(=O)C([C@@H]1CCN(CCc2ccc3OCCc3c2)C1)(c4ccccc4)c5ccccc5,3.6,10.1124/dmd.118.082966
Daunorubicin,C[C@H]1[C@H]([C@H](C[C@@H](O1)O[C@H]2C[C@@](Cc3c2c(c4c(c3O)C(=O)c5cccc(c5C4=O)OC)O)(C(=O)C)O)N)O,11.23,10.1124/dmd.118.082966
Deacetyl metipranolol,c1(c(c(c(cc1C)OC[C@@H](CNC(C)C)O)C)C)O,3.7,10.1124/dmd.118.082966
Decitabine,NC1=NC(=O)N(C=N1)[C@H]2C[C@H](O)[C@@H](CO)O2,0.59,10.1124/dmd.118.082966
Deferasirox,[H]OC(c1ccc(cc1)n1c(c2ccccc2O[H])nc(c2ccccc2O[H])n1)=O,4.07,10.1124/dmd.118.082966
Deferolimus,C1CCN2[C@@H](C1)C(=O)O[C@@H](CC(=O)[C@@H](C=C([C@H]([C@H](C(=O)[C@@H](C[C@@H](C=CC=CC=C([C@H](C[C@@H]1CC[C@H]([C@](C(=O)C2=O)(O1)O)C)OC)C)C)C)OC)O)C)C)[C@H](C)C[C@@H]1CC[C@H]([C@@H](C1)OC)OP(=O)(C)C,48.5,10.1124/dmd.118.082966
Degarelix,c1(cc2ccccc2cc1)C[C@H](C(N[C@@H](C(N[C@@H](C(N[C@@H](CO)C(N[C@H](C(N[C@@H](C(N[C@H](C(N[C@H](C(N1[C@@H](C(N[C@@H](C(N)=O)C)=O)CCC1)=O)CCCCNC(C)C)=O)CC(C)C)=O)Cc1ccc(cc1)NC(N)=O)=O)Cc1ccc(cc1)NC([C@H]1CC(NC(N1)=O)=O)=O)=O)=O)Cc1cnccc1)=O)Cc1ccc(cc1)Cl)=O)NC(C)=O,18.1,10.1124/dmd.118.082966
Dehydroandrographolide succinate,O=C(O)CCC(=O)O[C@@H]3CC[C@@]2(C)[C@H](/C=C/C1=CCOC1=O)C(=C)CC[C@@H]2[C@]3(C)COC(=O)CCC(=O)O,1,10.1124/dmd.118.082966
Delafloxacin,c1c2c(c(c(c1F)N3CC(C3)O)Cl)n(cc(c2=O)C(=O)O)c4c(cc(c(n4)N)F)F,2.5,10.1124/dmd.118.082966
Delorazepam (Chlordesmethyldiazepam),Clc1ccc2NC(=O)CN=C(c3ccccc3Cl)c2c1,220,10.1124/dmd.118.082966
Demethylchlortetracycline,CN(C)[C@H]1[C@@H]2C[C@@H]3[C@H](O)c4c(Cl)ccc(O)c4C(=O)C3=C(O)[C@]2(O)C(=O)C(=C1O)C(=O)N,17,10.1124/dmd.118.082966
Denaverine,CCC(CC)COC(C(=O)OCCN(C)C)(c1ccccc1)c2ccccc2,21,10.1124/dmd.118.082966
Deoxycytidine-5F-2',c1c(c(nc(=O)n1[C@H]2C[C@@H]([C@H](O2)CO)O)N)F,2.98,10.1124/dmd.118.082966
Deramciclane,C[C@@]12CC[C@@H](C1(C)C)C[C@@]2(c3ccccc3)OCCN(C)C,26.6,10.1124/dmd.118.082966
"Desacetylpaclitaxel, 4-; 4-methyl carbonate",COC(=O)O[C@@]12CO[C@@H]1C[C@H](O)[C@]3(C)[C@@H]2[C@H](OC(=O)c4ccccc4)[C@]5(O)C[C@H](OC(=O)[C@H](O)[C@@H](NC(=O)c6ccccc6)c7ccccc7)C(=C([C@@H](OC(=O)C)C3=O)C5(C)C)C,13,10.1124/dmd.118.082966
Desferrioxamine,C(CCC(NCCCCCN(C(C)=O)O)=O)(N(CCCCCNC(CCC(N(CCCCCN)O)=O)=O)O)=O,2.7,10.1124/dmd.118.082966
Desipramine,CNCCCN1c2ccccc2CCc3ccccc13,23,10.1124/dmd.118.082966
Desmethyldiazepam,Clc1ccc2NC(=O)CN=C(c3ccccc3)c2c1,63,10.1124/dmd.118.082966
Desmopressin,NC(=O)CC[C@@H]1NC(=O)[C@H](Cc2ccccc2)NC(=O)[C@H](Cc3ccc(O)cc3)NC(=O)CCSSC[C@H](NC(=O)[C@H](CC(=O)N)NC1=O)C(=O)N4CCC[C@H]4C(=O)N[C@H](CCCNC(=N)N)C(=O)NCC(=O)N,3.6,10.1124/dmd.118.082966
Desvenlafaxine,c1cc(ccc1O)[C@@H](CN(C)C)C1(CCCCC1)O,11.8,10.1124/dmd.118.082966
Dexamethasone,C[C@@H]1C[C@H]2[C@@H]3CCC4=CC(=O)C=C[C@]4(C)[C@@]3(F)[C@@H](O)C[C@]2(C)[C@@]1(O)C(=O)CO,4.7,10.1124/dmd.118.082966
Dexanabinol,CCCCCCC(C)(C)c1cc(c2c(c1)OC([C@@H]3[C@@H]2CC(=CC3)CO)(C)C)O,3.94,10.1124/dmd.118.082966
Dexfenfluramine,CCN[C@@H](C)Cc1cccc(c1)C(F)(F)F,18,10.1124/dmd.118.082966
Dexloxiglumide,CCCCCN(CCCOC)C(=O)[C@@H](CCC(=O)O)NC(=O)c1ccc(Cl)c(Cl)c1,0.79,10.1124/dmd.118.082966
Dexmedetomidine,C[C@H](c1c[nH]cn1)c2cccc(C)c2C,2.5,10.1124/dmd.118.082966
Dexmethylphenidate,c1ccc([C@H]([C@H]2CCCCN2)C(OC)=O)cc1,6.62,10.1124/dmd.118.082966
Dexniguldipine,COC(=O)C1=C(C)NC(=C([C@@H]1c2cccc(c2)N(=O)=O)C(=O)OCCCN3CCC(CC3)(c4ccccc4)c5ccccc5)C,15,10.1124/dmd.118.082966
Dexrazoxane,C[C@@H](CN1CC(=O)NC(=O)C1)N2CC(=O)NC(=O)C2,3,10.1124/dmd.118.082966
Dextromoramide,C[C@H](CN1CCOCC1)C(C(=O)N2CCCC2)(c3ccccc3)c4ccccc4,3.88,10.1124/dmd.118.082966
Dezocine,c12[C@@]3([C@H]([C@@H](CCCCC3)Cc1ccc(c2)O)N)C,4.6,10.1124/dmd.118.082966
DHA Paclitaxel,CC\C=C/C\C=C/C\C=C/C\C=C/C\C=C/C\C=C/CCC(=O)O[C@H]([C@@H](NC(=O)c1ccccc1)c2ccccc2)C(=O)O[C@H]3C[C@@]4(O)[C@@H](OC(=O)c5ccccc5)[C@@H]6[C@@]7(CO[C@@H]7C[C@H](O)[C@@]6(C)C(=O)[C@H](OC(=O)C)C(=C3C)C4(C)C)OC(=O)C,45,10.1124/dmd.118.082966
Diatrizoic Acid (Amidotrizoate),CC(=O)Nc1c(I)c(NC(=O)C)c(I)c(C(=O)O)c1I,2.6,10.1124/dmd.118.082966
Diazepam,CN1C(=O)CN=C(c2ccccc2)c3cc(Cl)ccc13,44,10.1124/dmd.118.082966
Diazoxide,CC1=NS(=O)(=O)c2cc(Cl)ccc2N1,58,10.1124/dmd.118.082966
Dibekacin,NC[C@@H]1CC[C@@H](N)[C@@H](O[C@@H]2[C@@H](N)C[C@@H](N)[C@H](O[C@H]3O[C@H](CO)[C@@H](O)[C@H](N)[C@H]3O)[C@H]2O)O1,2.7,10.1124/dmd.118.082966
Dichloroacetic Acid,OC(=O)C(Cl)Cl,0.6,10.1124/dmd.118.082966
Diclofenac,OC(=O)Cc1ccccc1Nc2c(Cl)cccc2Cl,1,10.1124/dmd.118.082966
Dicloxacillin,Cc1onc(c1C(=O)N[C@H]2[C@H]3SC(C)(C)[C@@H](N3C2=O)C(=O)O)c4c(Cl)cccc4Cl,0.92,10.1124/dmd.118.082966
Didanosine,OC[C@@H]1CC[C@@H](O1)n2cnc3C(=O)NC=Nc23,1.2,10.1124/dmd.118.082966
Didemnin B,N1(C([C@H]2N(C([C@@H](NC([C@H](C([C@@H](OC(C[C@@H]([C@H](NC([C@H]([C@H](OC([C@@H]1Cc1ccc(cc1)OC)=O)C)NC([C@H](N(C([C@H]1N(C(=O)[C@@H](O)C)CCC1)=O)C)CC(C)C)=O)=O)[C@H](CC)C)O)=O)C(C)C)=O)C)=O)CC(C)C)=O)CCC2)=O)C,1.94,10.1124/dmd.118.082966
Dienogest,C[C@]12CCC3=C4CCC(=O)C=C4CC[C@H]3[C@@H]1CC[C@@]2(O)CC#N,8.52,10.1124/dmd.118.082966
Diflomotecan,[H]O[C@]1(CC)CC(=O)OCC2=C1C=C1c3c(CN1C2=O)cc1cc(c(cc1n3)F)F,3.87,10.1124/dmd.118.082966
Diflunisal,OC(=O)c1cc(ccc1O)c2ccc(F)cc2F,14,10.1124/dmd.118.082966
Digitoxin,C[C@H]1O[C@H](C[C@H](O)[C@@H]1O)O[C@H]2[C@@H](O)C[C@H](O[C@H]3[C@@H](O)C[C@H](O[C@H]4CC[C@@]5(C)[C@H](CC[C@@H]6[C@@H]5CC[C@]7(C)[C@H](CC[C@]67O)C8=CC(=O)OC8)C4)O[C@@H]3C)O[C@@H]2C,170,10.1124/dmd.118.082966
Digoxin,C[C@H]1O[C@H](C[C@H](O)[C@@H]1O)O[C@H]2[C@@H](O)C[C@H](O[C@H]3[C@@H](O)C[C@H](O[C@H]4CC[C@@]5(C)[C@H](CC[C@@H]6[C@@H]5C[C@@H](O)[C@]7(C)[C@H](CC[C@]67O)C8=CC(=O)OC8)C4)O[C@@H]3C)O[C@@H]2C,40,10.1124/dmd.118.082966
Dihydrocodeine,CN1CC[C@]23c4c5ccc(c4O[C@H]2[C@H](CC[C@H]3[C@H]1C5)O)OC,4.08,10.1124/dmd.118.082966
Dihydroergosine,CC(C)C[C@H]1C(=O)N2CCC[C@H]2[C@]3(N1C(=O)[C@](O3)(C)NC(=O)[C@@H]4C[C@@H]5c6cccc7c6c(c[nH]7)C[C@H]5N(C4)C)O,5.01,10.1124/dmd.118.082966
Dihydroergotamine,N12[C@@]([C@H]3N(CCC3)C([C@@H]1Cc1ccccc1)=O)(O[C@](NC([C@@H]1C[C@@H]3c4c5c(c[nH]c5ccc4)C[C@H]3[N@@](C1)C)=O)(C)C2=O)O,0.36,10.1124/dmd.118.082966
Dihydroquinidine,CC[C@H]1CN2CC[C@H]1C[C@@H]2[C@@H](O)c3ccnc4ccc(OC)cc34,11,10.1124/dmd.118.082966
Dilevalol,C[C@H](CCc1ccccc1)NC[C@H](O)c2ccc(O)c(c2)C(=O)N,2.8,10.1124/dmd.118.082966
Diltiazem,COc1ccc(cc1)[C@@H]2Sc3ccccc3N(CCN(C)C)C(=O)[C@@H]2OC(=O)C,5.3,10.1124/dmd.118.082966
Dimetindene,C=1(c2c(cccc2)CC1CCN(C)C)[C@@H](c1ccccn1)C,5.98,10.1124/dmd.118.082966
Dinaciclib,c1(cc(nc2n1ncc2CC)N1[C@@H](CCCC1)CCO)NCc1cn(=O)ccc1,1.1,10.1124/dmd.118.082966
Diphenhydramine,CN(C)CCOC(c1ccccc1)c2ccccc2,11,10.1124/dmd.118.082966
Diprafenone,CCC(C)(C)NCC(O)COc1ccccc1C(=O)CCc2ccccc2,1.9,10.1124/dmd.118.082966
Diprophylline,CN1C(=O)N(C)c2ncn(CC(O)CO)c2C1=O,1.5,10.1124/dmd.118.082966
Dipyridamole,c12c(c(N3CCCCC3)nc(n2)N(CCO)CCO)nc(N(CCO)CCO)nc1N1CCCCC1,6.8,10.1124/dmd.118.082966
Disopyramide,CC(C)N(CCC(C(=O)N)(c1ccccc1)c2ccccn2)C(C)C,9.6,10.1124/dmd.118.082966
Distigmine,c1(OC(N(CCCCCCN(C(Oc2c[n+](ccc2)C)=O)C)C)=O)c[n+](ccc1)C,82.4,10.1124/dmd.118.082966
Disufenton sodium,[Na+].[Na+].c1(cc(c(cc1)\C=[N+](\C(C)(C)C)[O-])S(=O)(=O)[O-])S(=O)(=O)[O-],2.2,10.1124/dmd.118.082966
Dixyrazine,CC(CN1CCN(CC1)CCOCCO)CN2c3ccccc3Sc4c2cccc4,4.16,10.1124/dmd.118.082966
Dobesilic acid,O=S(=O)(O)c1c(O)ccc(O)c1,2.41,10.1124/dmd.118.082966
Docetaxel,CC(=O)O[C@@]12CO[C@@H]1C[C@H](O)[C@]3(C)[C@@H]2[C@H](OC(=O)c4ccccc4)[C@]5(O)C[C@H](OC(=O)[C@H](O)[C@@H](NC(=O)OC(C)(C)C)c6ccccc6)C(=C([C@@H](O)C3=O)C5(C)C)C,2.5,10.1124/dmd.118.082966
Dofetilide,CN(CCOc1ccc(NS(=O)(=O)C)cc1)CCc2ccc(NS(=O)(=O)C)cc2,11,10.1124/dmd.118.082966
Dolasetron,O=C(O[C@@H]1C[C@@H]2CC3C[C@H](C1)N2CC3=O)c4c[nH]c5ccccc45,0.19,10.1124/dmd.118.082966
Domperidone,Clc1ccc2N(C3CCN(CCCN4C(=O)Nc5ccccc45)CC3)C(=O)Nc2c1,6,10.1124/dmd.118.082966
Dopamine,c1(cc(c(O)cc1)O)CCN,0.19,10.1124/dmd.118.082966
Doripenem,[H]N1C[C@@H](C[C@H]1CN([H])S(N([H])[H])(=O)=O)SC1=C(C(=O)O[H])N2C([C@@H]1C)[C@@H](C2=O)[C@H](C)O[H],1.2,10.1124/dmd.118.082966
Doxacurium,COc1cc(CC2c3c(CC[N+]2(C)CCCOC(=O)CCC(=O)OCCC[N+]4(C)CCc5cc(OC)c(OC)c(OC)c5C4Cc6cc(OC)c(OC)c(OC)c6)cc(OC)c(OC)c3OC)cc(OC)c1OC,1.4,10.1124/dmd.118.082966
Doxapram,CCN1CC(CCN2CCOCC2)C(C1=O)(c3ccccc3)c4ccccc4,3.7,10.1124/dmd.118.082966
Doxazosin,COc1cc2nc(nc(N)c2cc1OC)N3CCN(CC3)C(=O)C4COc5ccccc5O4,14,10.1124/dmd.118.082966
Doxepin,CN(C)CC\C=C\1/c2ccccc2COc3ccccc13,15,10.1124/dmd.118.082966
Doxifluridine,C[C@H]1O[C@H]([C@H](O)[C@@H]1O)N2C=C(F)C(=O)NC2=O,0.46,10.1124/dmd.118.082966
Doxofylline,c12c(n(c(=O)n(c2=O)C)C)ncn1CC1OCCO1,2.5,10.1124/dmd.118.082966
Doxorubicin,COc1cccc2C(=O)c3c(O)c4C[C@](O)(C[C@H](O[C@H]5C[C@H](N)[C@H](O)[C@H](C)O5)c4c(O)c3C(=O)c12)C(=O)CO,24,10.1124/dmd.118.082966
Doxycycline,C[C@@H]1[C@H]2[C@H](O)[C@H]3[C@H](N(C)C)C(=C(C(=O)N)C(=O)[C@@]3(O)C(=C2C(=O)c4c(O)cccc14)O)O,25,10.1124/dmd.118.082966
DP-b99,CCCCCCCCOCCOC(=O)CN(CC(=O)O)c1ccccc1OCCOc2ccccc2N(CC(=O)O)CC(=O)OCCOCCCCCCCC,1.3,10.1124/dmd.118.082966
DQ-2556,c1cc(cc[n+]1CC1=C(N2C([C@H]([C@H]2SC1)NC(=O)\C(=N\OC)c1nc(sc1)N)=O)C(=O)[O-])c1cnco1,2.64,10.1124/dmd.118.082966
Dronedarone,CS(=O)(=O)Nc1cc2c(c(oc2cc1)CCCC)C(=O)c1ccc(cc1)OCCCN(CCCC)CCCC,10,10.1124/dmd.118.082966
Droperidol,n1(c2c(cccc2)[nH]c1=O)C=1CC[N@@](CCCC(c2ccc(F)cc2)=O)CC1,2.73,10.1124/dmd.118.082966
Drotaverine,CCOc1ccc(\C=C\2/NCCc3cc(OCC)c(OCC)cc23)cc1OCC,9,10.1124/dmd.118.082966
DX-52-1,c12[C@@H]([N@@]3[C@@H]([C@@H]4C[C@@H]([C@@H]([N@@]4C)[C@@H]3Cc1cccc2OC)C(=O)O)C#N)CO,1.23,10.1124/dmd.118.082966
DX9065a,CC(=N)N1CC[C@@H](C1)Oc2ccc(cc2)[C@H](Cc3ccc4ccc(cc4c3)C(=N)N)C(=O)O,14.4,10.1124/dmd.118.082966
E7107,N1(CCN(CC1)C1CCCCCC1)C(=O)O[C@H]1C=C[C@@H]([C@H](OC(=O)C[C@@H](CC[C@@]1(C)O)O)C(=C\C=C\[C@](C[C@H]1O[C@@H]1[C@@H]([C@H](CC)O)C)(C)O)\C)C,3.5,10.1124/dmd.118.082966
E7974,CC(C)[C@@H](\C=C(/C)\C(=O)O)N(C)C(=O)[C@@H](NC(=O)[C@H]1CCCCN1C(C)C)C(C)(C)C,21.5,10.1124/dmd.118.082966
Ecallantide,N[C@@H](CCC(=O)O)C(N[C@H](C(N[C@H](C(N[C@H](C(N[C@H](C(N[C@H](C(N[C@@H]1C(N[C@H](C(N[C@H](C(N[C@H](C(N[C@H](C(N[C@H](C(N[C@H](C(NCC(N2[C@H](C(N[C@@H]3C(N[C@H](C(N[C@H](C(N[C@H](C(N[C@H](C(N4[C@H](C(N[C@H](C(N[C@H](C(N[C@H](C(N[C@H](C(N[C@H](C(N[C@H](C(N[C@H](C(N[C@H](C(N[C@H](C(N[C@H](C(N[C@@H]5C(N[C@H](C(N[C@H](C(N[C@H](C(N[C@H](C(N[C@H](C(NCC(NCC(N[C@H](C(N[C@H](C(NCC(N[C@H](C(N[C@H](C(N[C@H](C(N[C@H](C(N[C@H](C(N[C@H](C(N[C@H](C(N[C@H](C(N[C@H](C(N[C@H](C(N[C@H](C(N[C@H](C(N[C@H](C(N[C@H](C(N[C@H](C(N[C@H](C(N[C@H](C(N[C@H](C(O)=O)CC(=O)O)=O)CCCNC(N)=N)=O)[C@@H](O)C)=O)CSSC1)=O)CCSC)=O)CCCCN)=O)CCCCN)=O)CSSC5)=O)CCC(=O)O)=O)CCC(=O)O)=O)CC(C)C)=O)CO)=O)CCC(=O)O)=O)Cc1ccccc1)=O)CCCNC(N)=N)=O)CC(=O)N)=O)CCC(=O)N)=O)CC(=O)N)=O)=O)CCC(=O)O)=O)CSSC3)=O)=O)=O)Cc1ccc(cc1)O)=O)[C@@H](C)CC)=O)Cc1ccccc1)=O)CCC(=O)O)=O)CCC(=O)O)=O)=O)CCC(=O)N)=O)CCCNC(N)=N)=O)[C@@H](O)C)=O)Cc1ccccc1)=O)[C@@H](C)CC)=O)CC(=O)N)=O)Cc1ccccc1)=O)Cc1ccccc1)=O)Cc1c[nH]c3c1cccc3)=O)CCCNC(N)=N)=O)CCC4)=O)Cc1[nH]cnc1)=O)C)=O)C)=O)CCCNC(N)=N)=O)=O)CCC2)=O)=O)CC(=O)O)=O)CC(=O)O)=O)C)=O)CCCCN)=O)Cc1ccccc1)=O)C)=O)=O)Cc1ccccc1)=O)CO)=O)Cc1[nH]cnc1)=O)CCSC)=O)C)=O,1.9,10.1124/dmd.118.082966
Edaravone,N1(c2ccccc2)N=C(C)CC1=O,2.65,10.1124/dmd.118.082966
Edotecarin,OCC(CO)NN1C(=O)c2c(C1=O)c3c4ccc(O)cc4n([C@@H]5O[C@H](CO)[C@@H](O)[C@H](O)[C@H]5O)c3c6[nH]c7cc(O)ccc7c26,0.95,10.1124/dmd.118.082966
Edoxaban,c1(nc2c(s1)CN(CC2)C)C(=O)N[C@H]1[C@@H](NC(=O)C(=O)Nc2ncc(Cl)cc2)CC[C@H](C(=O)N(C)C)C1,4.91,10.1124/dmd.118.082966
Edrophonium,CC[N+](C)(C)c1cccc(O)c1,1.9,10.1124/dmd.118.082966
Eletriptan,CN1CCC[C@@H]1Cc2c[nH]c3ccc(CCS(=O)(=O)c4ccccc4)cc23,5,10.1124/dmd.118.082966
Elinafide,C(CCNCCN1C(=O)c2c(ccc3ccccc23)C1=O)NCCN1C(=O)c2c(ccc3ccccc23)C1=O,35.2,10.1124/dmd.118.082966
Elisidepsin,CC[C@H](C)CCC(=O)N[C@H](C(C)C)C(=O)N[C@@H]([C@@H](C)O)C(=O)N[C@@H](C(C)C)C(=O)N[C@H](C(C)C)C(=O)N1CCC[C@@H]1C(=O)N[C@@H](CCCN)C(=O)N[C@H]([C@@H](C)CC)C(=O)N[C@@H]2[C@H](OC(=O)[C@@H](NC(=O)/C(=C/C)/NC(=O)[C@@H](NC(=O)[C@H](NC(=O)[C@H](NC2=O)[C@@H](C)CC)C(C)C)Cc3ccccc3)C(C)C)C,24.02,10.1124/dmd.118.082966
Eltanolone,CC(=O)[C@H]1CC[C@H]2[C@@H]3CC[C@@H]4C[C@H](O)CC[C@]4(C)[C@H]3CC[C@]12C,1.5,10.1124/dmd.118.082966
Eltoprazine,O1c2cccc(c2OCC1)N1CCNCC1,10.5,10.1124/dmd.118.082966
Enalaprilat,C[C@H](N[C@@H](CCc1ccccc1)C(=O)O)C(=O)N2CCC[C@H]2C(=O)O,4,10.1124/dmd.118.082966
Enalkiren,C(CC(C)(N)C)(N[C@H](C(N[C@@H](Cc1c[nH]cn1)C(N[C@H]([C@H]([C@@H](O)CC(C)C)O)CC1CCCCC1)=O)=O)Cc1ccc(cc1)OC)=O,3.1,10.1124/dmd.118.082966
Encainide,COc1ccc(cc1)C(=O)Nc2ccccc2CCC3CCCCN3C,2.8,10.1124/dmd.118.082966
Endralazine,N\N=C\1/NN=C2CCN(CC2=C1)C(=O)c3ccccc3,2.7,10.1124/dmd.118.082966
